Epoch,Step,Loss,Loss pos,Loss neg
3,23,0.0576,0.0339,0.0236
3,24,0.0603,0.0372,0.0231
3,25,0.0561,0.0335,0.0226
3,26,0.0590,0.0358,0.0231
3,27,0.0556,0.0326,0.0230
3,28,0.0585,0.0359,0.0226
3,29,0.0582,0.0359,0.0223
3,30,0.0571,0.0355,0.0215
3,31,0.0588,0.0368,0.0220
3,32,0.0613,0.0399,0.0214
3,33,0.0637,0.0410,0.0227
3,34,0.0595,0.0382,0.0212
3,35,0.0592,0.0381,0.0212
3,36,0.0565,0.0342,0.0223
3,37,0.0593,0.0386,0.0207
3,38,0.0591,0.0375,0.0215
3,39,0.0582,0.0371,0.0211
3,40,0.0603,0.0393,0.0210
3,41,0.0598,0.0391,0.0207
3,42,0.0539,0.0335,0.0204
3,43,0.0574,0.0362,0.0212
3,44,0.0593,0.0381,0.0212
3,45,0.0557,0.0344,0.0213
3,46,0.0582,0.0373,0.0210
3,47,0.0599,0.0390,0.0209
3,48,0.0584,0.0378,0.0206
3,49,0.0561,0.0352,0.0209
3,50,0.0545,0.0333,0.0212
3,51,0.0640,0.0434,0.0206
3,52,0.0563,0.0364,0.0198
3,53,0.0584,0.0377,0.0207
3,54,0.0575,0.0368,0.0206
3,55,0.0629,0.0426,0.0203
3,56,0.0584,0.0366,0.0217
3,57,0.0579,0.0361,0.0217
3,58,0.0605,0.0390,0.0215
3,59,0.0613,0.0394,0.0218
3,60,0.0583,0.0368,0.0216
3,61,0.0587,0.0369,0.0218
3,62,0.0605,0.0390,0.0215
3,63,0.0583,0.0369,0.0214
3,64,0.0555,0.0344,0.0211
3,65,0.0571,0.0360,0.0212
3,66,0.0557,0.0343,0.0215
3,67,0.0584,0.0366,0.0217
3,68,0.0583,0.0364,0.0219
3,69,0.0588,0.0381,0.0207
3,70,0.0629,0.0413,0.0216
3,71,0.0573,0.0367,0.0206
3,72,0.0552,0.0341,0.0212
3,73,0.0600,0.0393,0.0208
3,74,0.0572,0.0372,0.0200
3,75,0.0590,0.0379,0.0211
3,76,0.0623,0.0419,0.0204
3,77,0.0602,0.0391,0.0210
3,78,0.0591,0.0385,0.0206
3,79,0.0599,0.0389,0.0210
3,80,0.0613,0.0393,0.0220
3,81,0.0613,0.0394,0.0219
3,82,0.0603,0.0394,0.0208
3,83,0.0609,0.0397,0.0212
3,84,0.0548,0.0339,0.0209
3,85,0.0638,0.0413,0.0225
3,86,0.0607,0.0397,0.0210
3,87,0.0580,0.0369,0.0210
3,88,0.0608,0.0387,0.0222
3,89,0.0624,0.0402,0.0222
3,90,0.0597,0.0368,0.0229
3,91,0.0607,0.0393,0.0215
3,92,0.0577,0.0364,0.0213
3,93,0.0615,0.0395,0.0220
3,94,0.0598,0.0378,0.0221
3,95,0.0628,0.0417,0.0211
3,96,0.0605,0.0382,0.0223
3,97,0.0606,0.0387,0.0219
3,98,0.0645,0.0438,0.0208
3,99,0.0594,0.0387,0.0207
3,100,0.0584,0.0378,0.0206
3,101,0.0579,0.0372,0.0207
3,102,0.0576,0.0366,0.0211
3,103,0.0619,0.0408,0.0210
3,104,0.0603,0.0387,0.0216
3,105,0.0587,0.0376,0.0211
3,106,0.0555,0.0345,0.0210
3,107,0.0623,0.0403,0.0220
3,108,0.0645,0.0426,0.0219
3,109,0.0604,0.0395,0.0209
3,110,0.0611,0.0392,0.0219
3,111,0.0618,0.0401,0.0217
3,112,0.0605,0.0382,0.0223
3,113,0.0584,0.0376,0.0208
3,114,0.0579,0.0362,0.0216
3,115,0.0602,0.0384,0.0218
3,116,0.0618,0.0410,0.0209
3,117,0.0619,0.0402,0.0217
3,118,0.0622,0.0405,0.0217
3,119,0.0658,0.0438,0.0220
3,120,0.0613,0.0396,0.0217
3,121,0.0608,0.0394,0.0214
3,122,0.0625,0.0410,0.0215
3,123,0.0606,0.0393,0.0213
3,124,0.0575,0.0360,0.0214
3,125,0.0612,0.0404,0.0209
3,126,0.0636,0.0411,0.0224
3,127,0.0630,0.0418,0.0212
3,128,0.0617,0.0399,0.0218
3,129,0.0634,0.0418,0.0216
3,130,0.0603,0.0380,0.0222
3,131,0.0623,0.0409,0.0214
3,132,0.0577,0.0365,0.0212
3,133,0.0637,0.0418,0.0219
3,134,0.0620,0.0407,0.0213
3,135,0.0645,0.0428,0.0217
3,136,0.0596,0.0383,0.0213
3,137,0.0605,0.0395,0.0209
